id,Date,Noise,Original,Prediction,Cross Validation,year
118,5/14/2008,-0.1914,26.6086,26.6086,1,0
119,5/15/2008,0.082366667,27.1043,27.1043,1,0
120,5/16/2008,0.180033333,26.8029,26.8029,1,0
121,5/19/2008,-0.024733333,26.2286,26.2286,1,0
122,5/20/2008,0.378066667,26.5571,26.5571,1,0
123,5/21/2008,0.003333333,25.4557,25.4557,1,0
124,5/22/2008,-0.373366667,25.2928,25.2928,1,0
125,5/23/2008,-0.3257,25.8814,25.8814,1,0
126,5/27/2008,-0.0743,26.6328,26.6328,1,0
127,5/28/2008,0.027133333,26.7157,26.7157,1,0
128,5/29/2008,-0.1343,26.67,26.67,1,0
129,5/30/2008,0.133366667,26.9643,26.9643,1,0
130,6/2/2008,-0.001433333,26.5857,26.5857,1,0
131,6/3/2008,0.072833333,26.4814,26.4814,1,0
132,6/4/2008,-0.256666667,26.4557,26.4557,1,0
133,6/5/2008,0.248566667,27.0614,27.0614,1,0
134,6/6/2008,0.232366667,26.52,26.52,1,0
135,6/9/2008,-0.1395,25.9443,25.9443,1,0
136,6/10/2008,0.2919,26.52,26.52,1,0
137,6/11/2008,0.327166667,25.83,25.83,1,0
138,6/12/2008,0.1195,24.7514,24.7514,1,0
139,6/13/2008,-0.161866667,24.6243,24.6243,1,0
140,6/16/2008,-0.2786,25.2628,25.2628,1,0
141,6/17/2008,0.1424,25.9186,25.9186,1,0
142,6/18/2008,-0.092833333,25.5357,25.5357,1,0
143,6/19/2008,0.341866667,25.8428,25.8428,1,0
144,6/20/2008,0.125766667,25.0386,25.0386,1,0
145,6/23/2008,0.0333,24.7371,24.7371,1,0
146,6/24/2008,-0.2619,24.75,24.75,1,0
147,6/25/2008,0.592866667,25.3414,30.3414,2,0
148,6/26/2008,-0.003833333,24.0371,24.0371,1,0
149,6/27/2008,0.121466667,24.2986,24.2986,1,0
150,6/30/2008,-0.1919,23.92,23.92,1,0
151,7/1/2008,0.284766667,24.9543,24.9543,1,0
152,7/2/2008,-0.1595,24.0257,24.0257,1,0
153,7/3/2008,-0.384766667,24.3028,24.3028,1,0
154,7/7/2008,-0.2205,25.0228,25.0228,1,0
155,7/8/2008,0.221466667,25.65,25.65,1,0
156,7/9/2008,-0.145266667,24.8928,24.8928,1,0
157,7/10/2008,0.248066667,25.2328,25.2328,1,0
158,7/11/2008,-0.379033333,24.6543,24.6543,1,0
159,7/14/2008,0.268566667,24.84,24.84,1,0
160,7/15/2008,-0.1776,24.2343,24.2343,1,0
161,7/16/2008,-0.013833333,24.6871,24.6871,1,0
162,7/17/2008,0.4738,24.5443,24.5443,1,0
163,7/18/2008,-0.137566667,23.5929,23.5929,1,0
164,7/21/2008,1.026666667,23.7557,28.7557,2,0
165,7/22/2008,-0.343333333,23.1457,23.1457,1,0
166,7/23/2008,0.436633333,23.7514,23.7514,1,0
167,7/24/2008,-0.212366667,22.7186,22.7186,1,0
168,7/25/2008,0.357166667,23.16,23.16,1,0
169,7/28/2008,-0.175733333,22.0571,22.0571,1,0
170,7/29/2008,-0.166666667,22.44,22.44,1,0
171,7/30/2008,0.155733333,22.84,22.84,1,0
172,7/31/2008,0.063766667,22.7071,22.7071,1,0
173,8/1/2008,0.1662,22.38,22.38,1,0
174,8/4/2008,-0.457166667,21.89,21.89,1,0
175,8/5/2008,-0.137133333,22.9486,22.9486,1,0
176,8/6/2008,0.1,23.4557,23.4557,1,0
177,8/7/2008,-0.2986,23.3671,23.3671,1,0
178,8/8/2008,-0.215733333,24.2214,24.2214,1,0
179,8/11/2008,-0.149033333,24.7943,24.7943,1,0
180,8/12/2008,-0.181933333,25.2471,25.2471,1,0
181,8/13/2008,0.045266667,25.6143,25.6143,1,0
182,8/14/2008,0.1838,25.6171,25.6171,1,0
183,8/15/2008,0.024766667,25.1057,25.1057,1,0
184,8/18/2008,0.129033333,25.0557,25.0557,1,0
185,8/19/2008,-0.1692,24.79,24.79,1,0
186,8/20/2008,0.139033333,25.12,25.12,1,0
187,8/21/2008,-0.191866667,24.8986,24.8986,1,0
188,8/22/2008,0.232366667,25.2557,25.2557,1,0
189,8/25/2008,-0.0619,24.65,24.65,1,0
190,8/26/2008,-0.033333333,24.8057,24.8057,1,0
191,8/27/2008,0.0152,24.9528,24.9528,1,0
192,8/28/2008,0.2376,24.82,24.82,1,0
193,8/29/2008,0.0224,24.2186,24.2186,1,0
194,9/2/2008,-0.067633333,23.7414,23.7414,1,0
195,9/3/2008,0.3257,23.8514,23.8514,1,0
196,9/4/2008,0.174733333,23.0314,23.0314,1,0
197,9/5/2008,-0.1014,22.8829,22.8829,1,0
198,9/8/2008,0.3476,22.56,22.56,1,0
199,9/9/2008,-0.027133333,21.6686,21.6686,1,0
200,9/10/2008,0.113833333,21.6586,21.6586,1,0
201,9/11/2008,0.2595,21.8071,21.8071,1,0
202,9/12/2008,0.7376,21.2771,26.2771,2,0
203,9/15/2008,0.332333333,20.0514,20.0514,1,0
204,9/16/2008,0.640033333,19.9829,24.9829,2,0
205,9/17/2008,-0.4286,18.2614,18.2614,1,0
206,9/18/2008,-0.73,19.1557,14.1557,0,0
207,9/19/2008,0.515733333,20.13,25.13,2,0
208,9/22/2008,0.162366667,18.7214,18.7214,1,0
209,9/23/2008,-0.1095,18.12,18.12,1,0
210,9/24/2008,-0.205266667,18.3871,18.3871,1,0
211,9/25/2008,0.509966667,18.8471,23.8471,2,0
212,9/26/2008,1.504766667,18.32,23.32,2,0
213,9/29/2008,-0.5424,15.0371,10.0371,0,0
214,9/30/2008,0.299,16.2371,16.2371,1,0
215,10/1/2008,0.4824,15.5886,15.5886,1,0
216,10/2/2008,-0.0414,14.3,14.3,1,0
217,10/3/2008,0.192366667,13.8671,13.8671,1,0
218,10/6/2008,0.3162,14.02,14.02,1,0
219,10/7/2008,0.1246,12.7371,12.7371,1,0
220,10/8/2008,-0.119533333,12.8271,12.8271,1,0
221,10/9/2008,-0.2391,12.6771,12.6771,1,0
222,10/10/2008,-1.009966667,13.8286,8.8286,0,0
223,10/13/2008,0.008533333,15.7514,15.7514,1,0
224,10/14/2008,0.303333333,14.8686,14.8686,1,0
225,10/15/2008,-0.274266667,13.9929,13.9929,1,0
226,10/16/2008,0.322833333,14.5557,14.5557,1,0
227,10/17/2008,-0.162866667,13.9143,13.9143,1,0
228,10/20/2008,0.401933333,14.0629,14.0629,1,0
229,10/21/2008,-0.5362,13.07,8.07,0,0
230,10/22/2008,-0.0476,13.8386,13.8386,1,0
231,10/23/2008,0.4643,14.0329,14.0329,1,0
232,10/24/2008,0.2667,13.7686,13.7686,1,0
233,10/27/2008,-0.531466667,13.1557,8.1557,0,0
234,10/28/2008,-0.266166667,14.2729,14.2729,1,0
235,10/29/2008,-0.4843,14.9357,14.9357,1,0
236,10/30/2008,0.337633333,15.8629,15.8629,1,0
237,10/31/2008,0.109033333,15.37,15.37,1,0
238,11/3/2008,-0.3362,15.28,15.28,1,0
239,11/4/2008,0.465233333,15.8557,15.8557,1,0
240,11/5/2008,0.307133333,14.7571,14.7571,1,0
241,11/6/2008,0.034266667,14.1571,14.1571,1,0
242,11/7/2008,0.0205,14.0343,14.0343,1,0
243,11/10/2008,0.103766667,13.6971,13.6971,1,0
244,11/11/2008,0.332866667,13.5386,13.5386,1,0
245,11/12/2008,-0.289033333,12.8743,12.8743,1,0
246,11/13/2008,0.422833333,13.7771,13.7771,1,0
247,11/14/2008,0.1838,12.8914,12.8914,1,0
248,11/17/2008,-0.155733333,12.5914,12.5914,1,0
249,11/18/2008,0.1948,12.8443,12.8443,1,0
250,11/19/2008,0.326166667,12.3271,12.3271,1,0
251,11/20/2008,-0.168066667,11.4986,11.4986,1,0
252,11/21/2008,-0.6191,11.7971,6.7971,0,0
253,11/24/2008,0.0224,13.2786,13.2786,1,0
254,11/25/2008,-0.1581,12.9714,12.9714,1,0
255,11/26/2008,0.1252,13.5714,13.5714,1,0
256,11/28/2008,0.243333333,13.2386,13.2386,1,0
257,12/1/2008,-0.220933333,12.7043,12.7043,1,0
258,12/2/2008,-0.017133333,13.21,13.21,1,0
259,12/3/2008,0.2838,13.7,13.7,1,0
260,12/4/2008,-0.072833333,13.0586,13.0586,1,0
261,12/5/2008,-0.428533333,13.4286,13.4286,1,0
262,12/8/2008,0.0638,14.2457,14.2457,1,0
263,12/9/2008,0.1924,14.2943,14.2943,1,0
264,12/10/2008,0.193833333,14.03,14.03,1,0
265,12/11/2008,-0.050966667,13.5714,13.5714,1,0
266,12/12/2008,0.2762,14.0386,14.0386,1,0
267,12/15/2008,0.004266667,13.5357,13.5357,1,0
268,12/16/2008,0.508133333,13.6329,18.6329,2,0
269,12/17/2008,-0.020033333,12.7371,12.7371,1,0
270,12/18/2008,-0.051433333,12.7757,12.7757,1,0
271,12/19/2008,0.201866667,12.8571,12.8571,1,0
272,12/22/2008,-0.084266667,12.2486,12.2486,1,0
273,12/23/2008,0.075233333,12.34,12.34,1,0
274,12/24/2008,-0.112833333,12.1486,12.1486,1,0
275,12/26/2008,-0.0719,12.2586,12.2586,1,0
276,12/29/2008,-0.0233,12.3729,12.3729,1,0
277,12/30/2008,0.059966667,12.3271,12.3271,1,0
278,12/31/2008,-0.282366667,12.1929,12.1929,1,0
279,1/2/2009,-0.2976,12.9643,12.9643,1,2009
280,1/5/2009,0.009033333,13.5114,13.5114,1,0
281,1/6/2009,0.153366667,13.2886,13.2886,1,0
282,1/7/2009,-0.0529,13.0014,13.0014,1,0
283,1/8/2009,0.0767,13.2429,13.2429,1,0
284,1/9/2009,0.097133333,12.94,12.94,1,0
285,1/12/2009,0.065233333,12.6657,12.6657,1,0
286,1/13/2009,0.183333333,12.53,12.53,1,0
287,1/14/2009,0.319533333,12.19,12.19,1,0
288,1/15/2009,0.006166667,11.9114,11.9114,1,0
289,1/16/2009,0.2157,11.7614,11.7614,1,0
290,1/20/2009,-0.277166667,11.1714,11.1714,1,0
291,1/21/2009,-0.5114,11.8329,6.8329,0,0
292,1/22/2009,0.073333333,12.6229,12.6229,1,0
293,1/23/2009,-0.084733333,12.6229,12.6229,1,0
294,1/26/2009,-0.0781,12.8057,12.8057,1,0
295,1/27/2009,-0.231433333,12.9614,12.9614,1,0
296,1/28/2009,0.109966667,13.4571,13.4571,1,0
297,1/29/2009,0.1557,13.2857,13.2857,1,0
298,1/30/2009,-0.0167,12.8757,12.8757,1,0
299,2/2/2009,-0.0895,13.0729,13.0729,1,0
300,2/3/2009,-0.038533333,13.2829,13.2829,1,0
301,2/4/2009,-0.101433333,13.3643,13.3643,1,0
302,2/5/2009,-0.1819,13.78,13.78,1,0
303,2/6/2009,-0.1462,14.2457,14.2457,1,0
304,2/9/2009,0.279066667,14.6443,14.6443,1,0
305,2/10/2009,0.117633333,13.9757,13.9757,1,0
306,2/11/2009,-0.069533333,13.8314,13.8314,1,0
307,2/12/2009,0.018566667,14.1814,14.1814,1,0
308,2/13/2009,0.3295,14.1657,14.1657,1,0
309,2/17/2009,-0.017133333,13.5043,13.5043,1,0
310,2/18/2009,0.2252,13.4814,13.4814,1,0
311,2/19/2009,0.0324,12.9486,12.9486,1,0
312,2/20/2009,0.180966667,13.0286,13.0286,1,0
313,2/23/2009,-0.1809,12.4214,12.4214,1,0
314,2/24/2009,-0.024733333,12.8929,12.8929,1,0
315,2/25/2009,0.053833333,13.0229,13.0229,1,0
316,2/26/2009,0.054266667,12.7414,12.7414,1,0
317,2/27/2009,0.1219,12.7586,12.7586,1,0
318,3/2/2009,-0.0676,12.5629,12.5629,1,0
319,3/3/2009,-0.219533333,12.6243,12.6243,1,0
320,3/4/2009,0.144766667,13.0243,13.0243,1,0
321,3/5/2009,0.192366667,12.6914,12.6914,1,0
322,3/6/2009,0.1576,12.1857,12.1857,1,0
323,3/9/2009,-0.346533333,11.8729,11.8729,1,0
324,3/10/2009,-0.249266667,12.6611,12.6611,1,0
325,3/11/2009,-0.185233333,13.24,13.24,1,0
326,3/12/2009,0.0224,13.7643,13.7643,1,0
327,3/13/2009,-0.004266667,13.7043,13.7043,1,0
328,3/16/2009,-0.193333333,13.6314,13.6314,1,0
329,3/17/2009,-0.100533333,14.2371,14.2371,1,0
330,3/18/2009,-0.020433333,14.5029,14.5029,1,0
331,3/19/2009,-0.021,14.5171,14.5171,1,0
332,3/20/2009,-0.342366667,14.5129,14.5129,1,0
333,3/23/2009,0.1171,15.38,15.38,1,0
334,3/24/2009,-0.0509,15.2144,15.2144,1,0
335,3/25/2009,-0.224733333,15.2129,15.2129,1,0
336,3/26/2009,0.2219,15.6957,15.6957,1,0
337,3/27/2009,0.223833333,15.2643,15.2643,1,0
338,3/30/2009,-0.075733333,14.9271,14.9271,1,0
339,3/31/2009,-0.120966667,15.0171,15.0171,1,0
340,4/1/2009,-0.260733333,15.5271,15.5271,1,0
341,4/2/2009,-0.2267,16.1014,16.1014,1,0
342,4/3/2009,-0.067133333,16.57,16.57,1,0
343,4/6/2009,0.2557,16.9214,16.9214,1,0
344,4/7/2009,-0.0833,16.4286,16.4286,1,0
345,4/8/2009,-0.254766667,16.6171,16.6171,1,0
346,4/9/2009,-0.051933333,17.0814,17.0814,1,0
347,4/13/2009,0.121933333,17.1743,17.1743,1,0
348,4/14/2009,0.084733333,16.9014,16.9014,1,0
349,4/15/2009,-0.255233333,16.8057,16.8057,1,0
350,4/16/2009,-0.080933333,17.35,17.35,1,0
351,4/17/2009,0.2195,17.6314,17.6314,1,0
352,4/20/2009,0.016666667,17.2143,17.2143,1,0
353,4/21/2009,-0.029533333,17.3943,17.3943,1,0
354,4/22/2009,-0.428566667,17.3586,17.3586,1,0
355,4/23/2009,0.107633333,17.9143,17.9143,1,0
356,4/24/2009,0.0081,17.7,17.7,1,0
357,4/27/2009,0.105166667,17.8186,17.8186,1,0
358,4/28/2009,-0.104066667,17.7003,17.7003,1,0
359,4/29/2009,-0.0843,17.8771,17.8771,1,0
360,4/30/2009,-0.0657,17.9757,17.9757,1,0
361,5/1/2009,-0.277633333,18.1771,18.1771,1,0
362,5/4/2009,-0.015266667,18.8671,18.8671,1,0
363,5/5/2009,-0.0195,18.9586,18.9586,1,0
364,5/6/2009,0.171933333,18.9286,18.9286,1,0
365,5/7/2009,-0.005266667,18.4371,18.4371,1,0
366,5/8/2009,0.068566667,18.4557,18.4557,1,0
367,5/11/2009,0.2457,18.51,18.51,1,0
368,5/12/2009,0.2924,17.7743,17.7743,1,0
369,5/13/2009,-0.178566667,17.07,17.07,1,0
370,5/14/2009,0.055233333,17.5643,17.5643,1,0
371,5/15/2009,-0.2638,17.4886,17.4886,1,0
372,5/18/2009,-0.046133333,18.0929,18.0929,1,0
373,5/19/2009,0.066633333,18.2071,18.2071,1,0
374,5/20/2009,0.114733333,17.9814,17.9814,1,0
375,5/21/2009,0.0862,17.74,17.74,1,0
376,5/22/2009,-0.501933333,17.5,12.5,0,0
377,5/26/2009,-0.155666667,18.6829,18.6829,1,0
378,5/27/2009,-0.115266667,19.0071,19.0071,1,0
379,5/28/2009,-0.050466667,19.2957,19.2957,1,0
380,5/29/2009,-0.2,19.4014,19.4014,1,0
381,6/1/2009,0.010466667,19.9071,19.9071,1,0
382,6/2/2009,-0.093833333,19.9271,19.9271,1,0
383,6/3/2009,-0.093833333,20.1357,20.1357,1,0
384,6/4/2009,-0.119033333,20.5343,20.5343,1,0
385,6/5/2009,0.0795,20.6671,20.6671,1,0
386,6/8/2009,0.0557,20.55,20.55,1,0
387,6/9/2009,0.1386,20.3886,20.3886,1,0
388,6/10/2009,0.0476,20.0357,20.0357,1,0
389,6/11/2009,0.196233333,19.9929,19.9929,1,0
390,6/12/2009,0.0876,19.5671,19.5671,1,0
391,6/15/2009,-0.039566667,19.4414,19.4414,1,0
392,6/16/2009,0.021433333,19.4786,19.4786,1,0
393,6/17/2009,-0.0395,19.3686,19.3686,1,0
394,6/18/2009,-0.275733333,19.4114,19.4114,1,0
395,6/19/2009,0.0438,19.9257,19.9257,1,0
396,6/22/2009,0.2062,19.6243,19.6243,1,0
397,6/23/2009,-0.172366667,19.1443,19.1443,1,0
398,6/24/2009,-0.150966667,19.46,19.46,1,0
399,6/25/2009,-0.119533333,19.98,19.98,1,0
400,6/26/2009,-0.026166667,20.3486,20.3486,1,0
401,6/29/2009,-0.050966667,20.2814,20.2814,1,0
402,6/30/2009,-0.070033333,20.3471,20.3471,1,0
403,7/1/2009,0.209033333,20.4043,20.4043,1,0
404,7/2/2009,0.130033333,20.0029,20.0029,1,0
405,7/6/2009,0.159,19.8014,19.8014,1,0
406,7/7/2009,-0.1114,19.3429,19.3429,1,0
407,7/8/2009,0.015266667,19.6029,19.6029,1,0
408,7/9/2009,-0.1019,19.48,19.48,1,0
409,7/10/2009,-0.230466667,19.7886,19.7886,1,0
410,7/13/2009,0.0181,20.3343,20.3343,1,0
411,7/14/2009,-0.351433333,20.3243,20.3243,1,0
412,7/15/2009,0.022866667,20.9829,20.9829,1,0
413,7/16/2009,-0.2757,21.0743,21.0743,1,0
414,7/17/2009,-0.127533333,21.6786,21.6786,1,0
415,7/20/2009,0.048433333,21.8441,21.8441,1,0
416,7/21/2009,-0.548066667,21.6443,16.6443,0,0
417,7/22/2009,-0.0462,22.3914,22.3914,1,0
418,7/23/2009,-0.0617,22.5457,22.5457,1,0
419,7/24/2009,-0.0142,22.8551,22.8551,1,0
420,7/27/2009,0.062866667,22.8714,22.8714,1,0
421,7/28/2009,0.050933333,22.8571,22.8571,1,0
422,7/29/2009,-0.210966667,22.8614,22.8614,1,0
423,7/30/2009,-0.038,23.2557,23.2557,1,0
424,7/31/2009,-0.231433333,23.3414,23.3414,1,0
425,8/3/2009,0.113333333,23.7757,23.7757,1,0
426,8/4/2009,0.011433333,23.65,23.65,1,0
427,8/5/2009,0.034733333,23.5871,23.5871,1,0
428,8/6/2009,-0.151433333,23.4157,23.4157,1,0
429,8/7/2009,0.0305,23.6443,23.6443,1,0
430,8/10/2009,0.139033333,23.5314,23.5314,1,0
431,8/11/2009,-0.104766667,23.2614,23.2614,1,0
432,8/12/2009,-0.2119,23.6157,23.6157,1,0
433,8/13/2009,0.100966667,24.06,24.06,1,0
434,8/14/2009,0.496166667,23.8257,23.8257,1,0
435,8/17/2009,-0.307133333,22.7986,22.7986,1,0
436,8/18/2009,0.030966667,23.4286,23.4286,1,0
437,8/19/2009,-0.100466667,23.5143,23.5143,1,0
438,8/20/2009,-0.2005,23.7614,23.7614,1,0
439,8/21/2009,-0.0352,24.1743,24.1743,1,0
440,8/24/2009,-0.035266667,24.1514,24.1514,1,0
441,8/25/2009,0.117633333,24.2,24.2,1,0
442,8/26/2009,-0.160933333,23.9157,23.9157,1,0
443,8/27/2009,-0.162866667,24.2071,24.2071,1,0
444,8/28/2009,0.1776,24.2928,24.2928,1,0
445,8/31/2009,0.149133333,24.03,24.03,1,0
446,9/1/2009,0.037933333,23.614,23.614,1,0
447,9/2/2009,-0.125266667,23.5971,23.5971,1,0
448,9/3/2009,-0.2136,23.7929,23.7929,1,0
449,9/4/2009,-0.2519,24.33,24.33,1,0
450,9/8/2009,0.0924,24.7043,24.7043,1,0
451,9/9/2009,-0.1114,24.4486,24.4486,1,0
452,9/10/2009,0.002366667,24.6514,24.6514,1,0
453,9/11/2009,-0.010933333,24.5943,24.5943,1,0
454,9/14/2009,-0.0838,24.8171,24.8171,1,0
455,9/15/2009,-0.4543,25.0228,25.0228,1,0
456,9/16/2009,-0.132866667,25.9814,25.9814,1,0
457,9/17/2009,-0.0833,26.3643,26.3643,1,0
458,9/18/2009,0.082366667,26.4314,26.4314,1,0
459,9/21/2009,-0.0776,26.2886,26.2886,1,0
460,9/22/2009,-0.092366667,26.3543,26.3543,1,0
461,9/23/2009,-0.000933333,26.5,26.5,1,0
462,9/24/2009,0.155266667,26.26,26.26,1,0
463,9/25/2009,-0.251533333,26.0528,26.0528,1,0
464,9/28/2009,0.009233333,26.5931,26.5931,1,0
465,9/29/2009,-0.034333333,26.4828,26.4828,1,0
466,9/30/2009,0.213833333,26.4786,26.4786,1,0
467,10/1/2009,-0.2186,25.8371,25.8371,1,0
468,10/2/2009,-0.1154,26.4143,26.4143,1,0
469,10/5/2009,-0.271566667,26.5748,26.5748,1,0
470,10/6/2009,0.000466667,27.1443,27.1443,1,0
471,10/7/2009,0.027166667,27.1786,27.1786,1,0
472,10/8/2009,-0.042833333,27.0386,27.0386,1,0
473,10/9/2009,-0.0424,27.21,27.21,1,0
474,10/12/2009,0.046233333,27.2586,27.2586,1,0
475,10/13/2009,-0.166666667,27.1457,27.1457,1,0
476,10/14/2009,0.1138,27.3271,27.3271,1,0
477,10/15/2009,0.1771,27.2228,27.2228,1,0
478,10/16/2009,-0.076633333,26.8643,26.8643,1,0
479,10/19/2009,-0.935266667,27.1228,22.1228,0,0
480,10/20/2009,-0.3295,28.3943,28.3943,1,0
481,10/21/2009,-0.002833333,29.2743,29.2743,1,0
482,10/22/2009,0.0362,29.3143,29.3143,1,0
483,10/23/2009,0.0824,29.1343,29.1343,1,0
484,10/26/2009,0.282366667,28.9257,28.9257,1,0
